Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,,,,XREF
2,"Q1, Q2",,SOT23,DMG6968U-7,Diodes Inc,DK,DMG6968UDICT-ND,MOSFET N-CH 20V 6.5A SOT-23,SOT32-3,*,*,*,REF132
1,"RCIN",,3P-SMD-4.1X1.5,DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,*,*,*,*,REF14
3,"C9, C11, C13",0.1uF,0402-CAP,GMK105BJ104KV-F,TAIYO YUDEN (VA),DK,587-1994-1-ND,CAP CER 0.1UF 35V 10% X5R 0402,402,*,*,*,REF98
2,"C1, C3",0.1uF,SPARKFUN_0402-CAP,GMK105BJ104KV-F,TAIYO YUDEN (VA),DK,587-1994-1-ND,CAP CER 0.1UF 35V 10% X5R 0402,402,*,*,*,REF98
1,"C2",1uF,SPARKFUN_0402-CAP,LMK105BJ105KV-F,TAIYO YUDEN (VA),DK,587-1454-1-ND,CAP CER 1UF 10V 10% X5R 0402,402,*,*,*,REF111
1,"C12",2.2nF,0402-CAP,C0402C222K4RACTU,KEMET (VA),DK,399-7778-1-ND,CAP CER 2200PF 16V 10% X7R 0402,0402,*,*,*,REF128
3,"R1, R6, R7",10k,0402-RES,CRCW040210K0FKED,VISHAY DALE (VA),DK,541-10.0KLCT-ND,RES 10.0K OHM 1/16W 1% 0402 SMD,402,*,*,*,REF101
2,"C8, C10",10nF,0402-CAP,C0402C103K8RACTU,KEMET (VA),DK,399-7759-1-ND,CAP CER 10000PF 10V 10% X7R 0402,0402,*,*,*,REF127
2,"C4, C5",10uF,0603-CAP,TCM1A106M8R,ROHM SEMICONDUCTOR (PASSIVE) (VA),DK,511-1679-1-ND,CAP TANT 10UF 10V 20% 0603,603,*,*,*,REF109
1,"Y1",16MHz,RESONATOR-SMD,CSTCE16M0V53-R0,MURATA ELECTRONICS (VA),DK,490-1198-1-ND,CER RESONATOR 16.0MHZ SMD,*,*,*,*,REF107
2,"R4, R5",22,0402-RES,CRCW040222R0JNED,VISHAY DALE (VA),DK,541-22JCT-ND,RES 22 OHM 1/16W 5% 0402 SMD,402,*,*,*,REF103
6,"R2, R3, R8, R9, R10, R11",330,0402-RES,CRCW0402330RJNED,VISHAY DALE (VA),DK,541-330JCT-ND,RES 330 OHM 1/16W 5% 0402 SMD,402,*,*,*,REF102
2,"C6, C7",470pF,0603-CAP,C0603C471K5RACTU,KEMET (VA),DK,399-1075-1-ND,CAP CER 470PF 50V 10% X7R 0603,603,*,*,*,REF119
1,"A32U4",ATMEGA32U4QFN,ATMEL_QFN-44_SMALL_PAD,ATMEGA32U4-MU,ATMEL,DK,ATMEGA32U4-MU-ND,MCU AVR 32K FLASH 16MHZ 44-QFN,QFN-44,*,*,*,REF95
1,"LED1",Blue,LED-0603,LTST-C191TBKT,LITE-ON INC (VA),DK,160-1647-1-ND,LED 468NM BLUE CLEAR 0603 SMD,603,*,*,*,REF104
1,"GND_SHORT",GND_SHORT,GND_SHORT,DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,*,*,*,*,REF14
1,"LED2",Green,LED-0603,LTST-C190KGKT,LITE-ON INC (VA),DK,160-1435-1-ND,LED GREEN CLEAR 0603 SMD,603,*,*,*,REF114
1,"JP6",LIPO,1X02_LOCK,DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,*,*,*,*,REF14
1,"LDO3V3",MIC5219 3.3V,SOT23-5,MIC5219-3.3YM5 TR,MICREL INC (VA),DK,576-1281-1-ND,IC REG LDO 3.3V .5A SOT23-5,SOT23-5,*,*,*,REF129
1,"LDO5V0",MIC5219 5V,SOT23-5,MIC5219-5.0YM5 TR,MICREL INC (VA),DK,576-2770-1-ND,IC REG LDO 5V .5A SOT23-5,SOT23-5,*,*,*,REF105
1,"USB1",MICRO_USB_B_SMD,MOLEX_MICRO_USB_B_BOTTOM_MOUNT,473460001,Molex Inc,DK,WM17141CT-ND,CONN RCPT 5POS MICRO USB R/A,USB MICRO B,*,*,*,REF130
1,"MPU-6050",MPU-6050,QFN-24,***PART# '*' NOT FOUND***,*,*,*,*,*,*,*,*,*
1,"LOGO1",OSHW-LOGOM,OSHW-LOGO-M,DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,*,*,*,*,REF14
1,"SJ1",P-USB,SPARKFUN_SJ_2S,DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,*,*,*,*,REF14
4,"M1+, M1-, M2+, M2-",SOLDER_PAD.05X.05,SOLDER_PAD_.05X.05,DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,*,*,*,*,REF14
6,"GND, MISO, MOSI, RESET, SCK, VCC",TEST_PAD,ICSP_PAD,DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,*,*,*,*,REF14
