Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
DMG6968UDICT-ND,Diodes Inc,DMG6968U-7,REF132,2,
587-1994-1-ND,TAIYO YUDEN (VA),GMK105BJ104KV-F,REF98,3,
587-1994-1-ND,TAIYO YUDEN (VA),GMK105BJ104KV-F,REF98,2,
587-1454-1-ND,TAIYO YUDEN (VA),LMK105BJ105KV-F,REF111,1,
399-7778-1-ND,KEMET (VA),C0402C222K4RACTU,REF128,1,
541-10.0KLCT-ND,VISHAY DALE (VA),CRCW040210K0FKED,REF101,3,
399-7759-1-ND,KEMET (VA),C0402C103K8RACTU,REF127,2,
511-1679-1-ND,ROHM SEMICONDUCTOR (PASSIVE) (VA),TCM1A106M8R,REF109,2,
490-1198-1-ND,MURATA ELECTRONICS (VA),CSTCE16M0V53-R0,REF107,1,
541-22JCT-ND,VISHAY DALE (VA),CRCW040222R0JNED,REF103,2,
541-330JCT-ND,VISHAY DALE (VA),CRCW0402330RJNED,REF102,6,
399-1075-1-ND,KEMET (VA),C0603C471K5RACTU,REF119,2,
ATMEGA32U4-MU-ND,ATMEL,ATMEGA32U4-MU,REF95,1,
160-1647-1-ND,LITE-ON INC (VA),LTST-C191TBKT,REF104,1,
160-1435-1-ND,LITE-ON INC (VA),LTST-C190KGKT,REF114,1,
576-1281-1-ND,MICREL INC (VA),MIC5219-3.3YM5 TR,REF129,1,
576-2770-1-ND,MICREL INC (VA),MIC5219-5.0YM5 TR,REF105,1,
WM17141CT-ND,Molex Inc,473460001,REF130,1,
*,*,*,MPU-6050,1,*** PART# '*' NOT FOUND : MPU-6050
